# Windows Version: 10.0.14971.1000 (rs_prerelease.161111-1700)
# CPU: Intel(R) Core(TM) i7-6560U CPU @ 2.20GHz
# Memory: 15.85 GB
# Linux Kernel Version: 4.8.10-moby
# Linux Total Memory: 1.934 GiB
# Linux CPUs: 2
#
# BW: Message sizes (in Bytes) vs Average Bandwidth (in Mb/s) + individual results
# Index 0: BW: Host loopback mode blocking (msg recv())
3072 2234.75 2144 2171 2530 2094
4096 2469 2136 2791 2733 2216
5120 3005.25 3110 2817 2994 3100
8192 3353.5 3288 3300 3772 3054
9018 3733 4879 4196 3289 2568
16384 3840.5 3668 4080 4064 3550


# Index 16: BW: Transmit to VM blocking (msg recv())
8 12.75 2 13 13 23
128 279.25 346 379 195 197
512 406.25 1211 48 19 347
1024 1255.5 1901 1113 1009 999
1518 2198.25 2462 2154 2954 1223
2048 2659 2191 2654 3000 2791
3072 2874.5 3324 1752 3033 3389
4096 2680.5 2817 2838 2808 2259
5120 3576.25 3878 3394 3105 3928
8192 3067.25 2191 2929 2484 4665
9018 3590.75 2996 4042 4265 3060
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 17: BW: Transmit to VM poll() Linux (msg recv())
8 8.75 10 5 9 11
128 278.75 371 39 351 354
512 877.5 580 1137 1232 561
1024 1294.25 1941 1280 1056 900
1518 2132.5 2223 1577 2445 2285
2048 2377.75 2465 3305 2433 1308
3072 3653 3121 4148 3460 3883
4096 2771 2846 3349 2310 2579
5120 3014.5 3005 2467 3526 3060
8192 3084.25 2898 3648 2819 2972
9018 2922.5 3661 3821 2125 2083
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 18: BW: Transmit to VM poll() Windows (msg recv())
8 18.75 13 14 24 24
128 166.5 198 183 185 100
512 516.75 581 622 575 289
1024 1373.25 788 2089 1760 856
1518 2301.25 2003 2188 2371 2643
2048 1917.75 1893 2183 1065 2530
3072 3424 3510 3163 3306 3717
4096 2277.75 2033 2471 2421 2186
5120 3206.5 3250 3060 3167 3349
8192 2278.25 2441 2594 1743 2335
9018 3100.5 3522 3143 3144 2593
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 19: BW: Transmit to VM poll() both (msg recv())
8 12.75 1 25 13 12
128 71 20 14 64 186
512 784.75 1101 607 650 781
1024 1340.75 1793 1577 907 1086
1518 2396.5 2560 2220 2550 2256
2048 2665.75 2695 2570 3014 2384
3072 2613 3257 3266 1440 2489
4096 2674.75 3339 2404 2614 2342
5120 3275.5 3824 2943 2968 3367
8192 2765.25 4308 2316 2932 1505
9018 3514 2764 3449 3520 4323
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 20: BW: Transmit to VM blocking (bulk recv())
8 10 9 3 1 27
128 85.5 13 8 121 200
512 479 136 598 434 748
