# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Linux Kernel Version: 4.8.10-moby
# Linux Total Memory: 1.934 GiB
# Linux CPUs: 2
#
# BW: Message sizes (in Bytes) vs Average Bandwidth (in Mb/s) + individual results
# Index 0: BW: Host loopback mode blocking (msg recv())
1024 3413.75 3762 2331 3702 3860
1518 4424.25 5009 4725 2831 5132
2048 4443.25 6399 3974 3682 3718
3072 3820.75 3744 3699 3835 4005
4096 4508.25 5611 4208 3411 4803
5120 6564.5 9037 5847 4015 7359
8192 7622.75 9114 7245 8746 5386
9018 7595.5 6095 10003 8878 5406
16384 7522.25 8031 7951 6393 7714


# Index 16: BW: Transmit to VM blocking (msg recv())
8 27.5 36 15 41 18
128 322 523 288 213 264
512 1490.75 1686 919 1596 1762
1024 2219.25 2910 1527 2984 1456
1518 3210.25 3247 1972 3526 4096
2048 3530.5 2419 4692 3413 3598
3072 3845.25 4492 4003 4094 2792
4096 5264.75 5354 4874 5395 5436
5120 6068.25 6968 4444 6878 5983
8192 4171.5 4315 3710 4305 4356
9018 4177.75 4332 4763 4010 3606
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 17: BW: Transmit to VM poll() Linux (msg recv())
8 25.75 36 33 18 16
128 286 345 263 30 506
512 1477.75 892 1739 1681 1599
1024 2288 1249 2639 2742 2522
1518 1941.5 2041 1748 2111 1866
2048 3278.5 3264 3216 2268 4366
3072 4406.25 3789 4234 5725 3877
4096 3372.25 1893 3658 3104 4834
5120 5013.5 5361 3908 5599 5186
8192 3997.25 3745 4396 4343 3505
9018 4248.5 4215 4732 3938 4109
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 18: BW: Transmit to VM poll() Windows (msg recv())
8 24.25 39 21 21 16
128 355 316 298 520 286
512 1512.5 894 1721 1701 1734
1024 2353.75 2744 1403 2572 2696
1518 2294.5 2095 1999 1707 3377
2048 3979.25 4308 3371 3534 4704
