# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Linux Kernel Version: 4.8.10-moby
# Linux Total Memory: 1.934 GiB
# Linux CPUs: 2
#
# Index 0: connect() from VM
# time (ms) vs count
4096 4496
5120 4272
8192 3515
9018 9086
12288 2969
16384 3623


# Index 17: BW: Transmit from VM blocking (bulk recv())
8 30
64 240
128 499
512 1517
1024 1598
1518 2229
2048 3550
3072 2043
4096 2037
5120 3440
8192 4905
9018 3268
12288 1922
16384 4913


# Index 18: BW: Transmit from VM poll() Linux (bulk recv())
8 31
64 231
128 478
512 853
1024 1876
1518 3683
2048 2268
3072 1866
4096 3852
5120 2721
8192 3438
9018 2902
12288 1999
16384 4621


# Index 19: BW: Transmit from VM poll() Windows (bulk recv())
8 24
64 215
128 327
512 1772
1024 3395
1518 3907
2048 2825
3072 3555
4096 4497
5120 4618
8192 3634
9018 7712
12288 3113
16384 3948


# Index 20: BW: Transmit from VM poll() both (bulk recv())
8 24
64 247
128 380
512 841
1024 1543
1518 3997
2048 4993
3072 3225
4096 3002
5120 3248
8192 4170
9018 3692
12288 4889
16384 3603


# Index 21: BW: Transmit to VM blocking (msg recv())
8 23
64 109
128 258
512 1598
1024 2406
1518 1071
2048 3749
3072 3692
4096 4923
5120 3919
8192 3318
9018 3513
12288 3791


# Index 22: BW: Transmit to VM poll() Linux (msg recv())
8 23
64 68
128 198
512 1502
1024 1084
1518 2697
2048 1227
3072 5166
4096 3516
5120 4209
8192 3467
9018 3992
12288 6776


# Index 23: BW: Transmit to VM poll() Windows (msg recv())
8 25
64 95
128 180
512 1541
1024 2772
1518 2789
2048 1269
3072 4149
4096 3788
5120 1332
8192 2937
9018 4342
12288 3787


# Index 24: BW: Transmit to VM poll() both (msg recv())
8 21
64 70
128 160
512 807
1024 2812
1518 3329
2048 2997
3072 3910
4096 3215
5120 5409
8192 3240
9018 3762
12288 7451


# Index 25: BW: Transmit to VM blocking (bulk recv())
8 12
64 98
128 178
512 1659
1024 2673
1518 2919
2048 4073
3072 3587
4096 3470
5120 4113
8192 2623
9018 4550
12288 5714


# Index 26: BW: Transmit to VM poll() Linux (bulk recv())
8 25
64 139
128 167
512 833
1024 1040
1518 1159
2048 3037
3072 4037
4096 3175
5120 3978
8192 3885
9018 3217
12288 3729


# Index 27: BW: Transmit to VM poll() Windows (bulk recv())
8 0
64 185
128 105
512 418
1024 3247
1518 3386
2048 4205
3072 6023
4096 3430
5120 3953
8192 3114
9018 2988
12288 4388


# Index 28: BW: Transmit to VM poll() both (bulk recv())
8 8
64 106
128 129
512 860
1024 2871
1518 2940
2048 3141
3072 3687
4096 1261
5120 4058
8192 3260
9018 3307
12288 5825

