# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Linux Kernel Version: 4.8.11-moby with 8k HV Socket send buffer
# Linux Total Memory: 1.934 GiB
# Linux CPUs: 2
#
# Index 0: connect() from VM
# time (ms) vs count
1518 4565
2048 3298
3072 3106
4096 3912
5120 4539
8192 4620
9018 3281
12288 2984
16384 5144


# Index 17: BW: Transmit from VM blocking (bulk recv())
8 28
64 223
128 403
512 1408
1024 2666
1518 2738
2048 1832
3072 1978
4096 3633
5120 2293
8192 4083
9018 2211
12288 3158
16384 4198


# Index 18: BW: Transmit from VM poll() Linux (bulk recv())
8 25
64 206
128 438
512 1600
1024 1878
1518 1697
2048 2177
3072 2054
4096 3459
5120 2771
8192 2257
9018 2527
12288 1975
16384 2276


# Index 19: BW: Transmit from VM poll() Windows (bulk recv())
8 25
64 188
128 398
512 1672
1024 3042
1518 4391
2048 2820
3072 2970
4096 3930
5120 3730
8192 3594
9018 3414
12288 4005
16384 5231


# Index 20: BW: Transmit from VM poll() both (bulk recv())
8 25
64 215
128 353
512 1667
1024 3313
1518 4218
2048 3406
3072 3646
4096 4405
5120 4067
8192 3717
9018 3554
12288 3542
16384 3833


# Index 21: BW: Transmit to VM blocking (msg recv())
8 34
64 85
128 145
512 804
1024 2674
1518 2889
2048 2943
3072 4726
4096 1329
5120 6519
8192 4296
9018 4437
12288 4225


# Index 22: BW: Transmit to VM poll() Linux (msg recv())
8 26
64 113
128 479
512 1552
1024 1007
1518 2831
2048 2952
3072 3499
4096 3253
5120 1299
8192 4441
9018 3432
12288 4569


# Index 23: BW: Transmit to VM poll() Windows (msg recv())
8 29
64 111
128 238
512 877
1024 2986
1518 3226
2048 4220
3072 3459
4096 5190
5120 3999
8192 4490
9018 4377
12288 3548


# Index 24: BW: Transmit to VM poll() both (msg recv())
8 22
64 131
128 0
512 804
1024 1043
1518 3746
2048 2945
3072 1283
4096 4696
5120 6131
8192 5001
9018 3137
12288 6886


# Index 25: BW: Transmit to VM blocking (bulk recv())
8 30
64 119
128 284
512 902
1024 2839
1518 3018
2048 4490
3072 3889
4096 3482
5120 6252
8192 3525
